time,N=2,N=20,N=100,N=500,N=1000
0.286,92.8217534144,89.5790802902,87.8552464311,86.8485312513,86.7307347678
0.288,93.2845262409,89.990123265,88.2872301891,87.3029027965,87.1894967774
0.29,94.3950832684,90.9878812562,89.3011078506,88.3382563906,88.2282267502
0.292,93.2844774617,90.0435812929,88.416785036,87.4665668521,87.3597213309
0.294,92.3986158637,89.1655958205,87.4861596835,86.4996399716,86.3851891024
0.296,91.9769384154,88.7419440581,87.0479048996,86.0543631762,85.9387257469
0.298,90.440341696,87.16488151,85.4204485807,84.401665285,84.2809086811
0.3,89.2356022651,85.7311909123,83.8056550445,82.7101236033,82.5732287682
0.302,88.0092647581,84.1027911354,81.9030111972,80.7065325429,80.5487260358
0.304,87.9699073052,84.0415817098,81.827073346,80.6253390548,80.4664572256
0.306,86.8346357715,82.5884015415,80.3492897598,79.1966017133,79.0505256587
0.308,87.3342375724,83.2757032494,81.1024682382,79.9677809015,79.8256874594
0.31,84.8784877233,80.0308859169,77.746545324,76.6404544576,76.5061844827
0.312,87.076775884,83.266931533,81.3937153936,80.4146487198,80.3073812642
0.314,86.3395134944,82.1985371056,80.2472735366,79.2658475904,79.1588931445
0.316,86.9241830464,83.0475524063,81.1624136085,80.1927454282,80.0884534199
0.318,87.1262463448,83.3095864674,81.4113564159,80.4284333392,80.3211375087
0.32,88.0272584619,84.5243715026,82.6436001215,81.6624688251,81.5565940548
0.322,87.0329572519,83.3114734149,81.5465234774,80.6346893118,80.54447539
0.324,87.7706828528,84.2683946453,82.5180085721,81.612333189,81.5237802457
0.326,85.0688625827,81.3342387845,80.2310278227,79.7512992242,79.772348212
0.328,84.3977209416,80.5141843403,79.4311987142,78.9695430769,78.9961845363
0.33,83.9282842031,79.9365802803,78.8610441238,78.4120766919,78.4423401567
0.332,84.0395014213,80.0765526489,79.0056289732,78.5567979834,78.5870042053
0.334,82.4980666,78.0971794979,76.9883582971,76.5638786585,76.6011317712
0.336,83.7197349945,79.4810260086,78.1896419025,77.6429701805,77.6516104473
0.338,83.3282059263,79.0109337822,77.7345869208,77.1962193597,77.2066318696
0.34,83.6880132835,79.4478828098,78.1698975279,77.6270078419,77.6362780062
0.342,84.7202193981,80.7747413852,79.5500404103,79.0147933144,79.0252404026
0.344,84.7770881971,80.8429551524,79.6177523661,79.08116072,79.0912988343
0.346,83.1051273775,78.7639024268,77.5601488323,77.0603145196,77.0783044156
0.348,84.1361313144,80.085703256,78.9187799166,78.4212974001,78.4398860559
0.35,84.1794116499,80.1354631445,78.9664416717,78.4672313739,78.4854323138
0.352,84.6751343689,80.6934171568,79.4675535547,78.941162596,78.9539524486
0.354,84.9844329239,81.0030116168,79.7176313178,79.1685592801,79.1767139073
0.356,83.1122417745,79.1537574826,78.0893142849,77.5787667859,77.5928946697
0.358,82.9220362768,78.9327217005,77.8589357252,77.3411630119,77.3536966789
0.36,84.6401034473,81.0933016084,80.2136146409,79.7754361591,79.8047891077
0.362,83.7460822107,80.1125826407,79.3538291978,79.01217588,79.0659814692
0.364,82.0052528372,78.2451760634,77.6495082776,77.3576206673,77.4179727728
0.366,83.6079475711,80.0754623062,79.4796315959,79.2059749311,79.2720052346
0.368,84.5004794594,80.865233199,79.9230080706,79.2059779489,79.2720082549
0.37,85.0833217804,81.3942139526,80.3460778729,79.6061958896,79.6684886771
0.372,83.9031385429,80.2820457114,79.3489626654,78.6282965854,78.694177865
0.374,83.2970001848,79.634770015,78.6919226416,77.9600350474,78.0231474799
0.376,83.3503810485,79.6844940715,78.7329540956,77.9954510574,78.057128257
0.378,84.7467069687,80.9150868022,79.7415807231,78.9447583738,78.9989779546
0.38,84.7865634992,80.946903169,79.7655750638,78.9662851575,79.019980226
0.382,84.5103092683,80.7161589905,79.5599160479,78.7627096933,78.8165968474
0.384,85.3624995513,81.4624248139,80.2650684292,79.4635505581,79.5169035854
0.386,84.6723685943,80.9537867777,79.9037591598,79.1811545317,79.25484772
0.388,86.0653756134,82.0095301545,80.8019056025,80.0536145558,80.1252582101
0.39,85.9267375963,81.9279081112,80.7583068037,80.033872863,80.1180895119
0.392,85.638172754,81.7485423631,80.6085619335,79.8807175714,79.960697617
0.394,86.0553373831,82.0198296214,80.8561998404,80.128123851,80.2097212535
0.396,84.86773237,81.3532668781,80.3573645038,79.7059706945,79.8035379009
0.398,84.1582775615,80.8637384817,79.8771895367,79.2256033964,79.3216641967
