time,N=2,N=20,N=100,N=500,N=1000
0.43,86.6523949082,83.2936418186,82.4119851997,83.044136675,83.3555522115
0.432,86.8673470548,83.5169522096,82.6356460765,83.2368841945,83.5403440341
0.434,86.8638250789,83.5129576809,82.6315658638,83.2336495178,83.5373127646
0.436,87.6874206499,84.3442696637,83.4180399918,83.8887097348,84.1596314972
0.438,88.2687565754,84.8292253942,83.7628861242,84.0652596238,84.281993008
0.44,88.5117584034,84.9850740202,83.8516946993,84.1561536715,84.3878357923
0.442,86.9162951811,83.6959038483,82.6501661841,82.9274653003,83.0980486365
0.444,87.29987496,84.0887311925,83.0809070931,83.3774481162,83.5627899118
0.446,87.4329315629,84.233572813,83.2394043891,83.5390340858,83.7277842504
0.448,88.5095412828,85.3843517265,84.426727208,84.6996444101,84.9016935671
0.45,87.928425567,84.7844047968,83.8369530127,84.1350414284,84.3329683734
0.452,88.1735490005,85.0608027419,84.1306756453,84.4295005847,84.6312169882
0.454,88.7970575735,85.8368339633,84.9985744584,85.3158531335,85.5298386415
0.456,88.9493824389,86.0071384252,85.1614892242,85.4644566359,85.6768864532
0.458,89.5845530599,86.5301475271,85.3929230938,85.464460338,85.6768901646
0.46,90.3795688993,87.1823190141,85.9180355011,86.0002791478,86.2214117448
0.462,90.4580928828,87.2348544505,85.9535384774,86.0262659695,86.2451277894
0.464,89.749110879,86.7758084377,85.5463516546,85.6187490408,85.8301750792
0.466,88.6126999788,85.8966097396,84.6152207373,84.6618385809,84.8588429557
0.468,87.1418952453,84.3514688279,82.7517953715,82.6766052847,82.8357435976
0.47,85.8092730887,82.5490126063,80.4295459041,80.1581948539,80.2651579173
0.472,85.0665309142,81.406086061,78.9488822863,78.560344925,78.6375137442
0.474,84.4315426836,80.3990973491,77.6944262936,77.2360277689,77.2950628213
0.476,84.4656336906,80.4502998611,77.7531179764,77.2966350879,77.3561920871
0.478,84.5298505235,80.5521854964,77.8711508643,77.4184418853,77.4790519721
0.48,85.0899443293,81.4720912072,78.9293366447,78.5037194989,78.5727781155
0.482,83.9490058632,79.7335372189,77.0799159136,76.6673323951,76.7334532824
0.484,83.9891298209,79.7889527598,77.1378975733,76.7259515815,76.7924145451
0.486,82.1441554871,77.210211068,74.451133156,74.0203946545,74.0732627849
0.488,81.0476076307,75.5437653687,72.5599113906,72.0409207459,72.0692230117
0.49,81.0057122439,75.4778219205,72.4864634523,71.9659806547,71.9937980605
0.492,81.1076277296,75.6154836342,72.6267563966,72.1049852801,72.1329548911
0.494,80.7590851928,75.0994001948,72.0581790548,71.5176970929,71.5398678539
0.496,80.9155785773,75.3133334704,72.2780106368,71.7357265229,71.7580162684
0.498,80.9315466664,75.3316632529,72.2958204922,71.7532976611,71.7755895066
0.5,80.8960819925,75.2830334,72.2454034048,71.7021135046,71.7240272607
0.502,81.0594726827,75.4919449049,72.4605607854,71.9193778607,71.9424121917
0.504,80.8260109082,75.1697797612,72.1089058776,71.5564140799,71.5760102628
0.506,81.6122592217,76.2430084836,73.2592729578,72.7259238383,72.7523831346
0.508,81.2826341795,75.8044452478,72.8059004959,72.2731369458,72.2984591118
0.51,80.4716988923,74.684572052,71.597441819,71.0347916197,71.0502486941
0.512,79.751031313,73.683198307,70.5209487965,69.9387031753,69.9474028118
0.514,80.8827852336,75.3063578461,72.2985848912,71.7635498638,71.7864922701
0.516,80.948170665,75.3914120922,72.3841696145,71.8477171828,71.8705281674
0.518,80.2991514775,74.568260627,71.5866704953,71.0669851918,71.090276368
0.52,78.3573783159,72.2135377343,69.2962382791,68.7903164673,68.8076894204
0.522,78.0804563222,71.8498911681,68.9083179404,68.3898155675,68.4033505021
