S,V
63.4466,0.130084
63.1967,0.154877
62.6419,0.150467
63.0925,0.112427
63.243,0.0955752
62.5521,0.116694
62.0306,0.101785
61.0781,0.109563
61.1239,0.0925921
61.7173,0.117311
62.4731,0.104507
62.276,0.124285
62.9553,0.112315
63.7069,0.118456
64.5237,0.0899357
65.4417,0.111243
64.5224,0.103616
65.4956,0.0993666
65.3398,0.106428
66.0285,0.0955562
66.3371,0.0910661
65.7748,0.100015
66.1186,0.0822218
66.4045,0.0527894
66.8615,0.0626274
66.8837,0.0771113
66.2893,0.0728101
66.7807,0.0636439
66.9552,0.0879319
66.6491,0.0801495
67.2706,0.0690461
67.2445,0.0700222
66.9243,0.0929448
67.5053,0.0877
68.7497,0.0730639
68.9027,0.0955844
68.3923,0.0852502
67.7053,0.0964511
68.8344,0.0829648
68.8204,0.0864328
69.1547,0.0934681
68.8485,0.0792695
69.0462,0.103627
68.9086,0.0840788
67.7427,0.0783029
67.7381,0.0940569
68.5005,0.0885621
68.9723,0.0874927
69.8049,0.0816738
69.9288,0.104351
70.1549,0.0965393
69.8768,0.0962834
69.6012,0.111475
70.2613,0.0899044
71.8307,0.0881275
72.3881,0.0995677
72.2785,0.110368
72.7396,0.106539
72.6997,0.095841
72.6838,0.109679
73.3663,0.105561
74.6793,0.101014
75.9193,0.0797691
76.4847,0.0873207
76.9454,0.0932905
77.5374,0.078159
78.9848,0.0523055
79.6489,0.0639206
79.6705,0.0768233
79.1599,0.0754222
79.659,0.0811723
79.5721,0.0880765
79.2543,0.0935626
79.039,0.0828304
80.0968,0.0711695
80.0725,0.061465
81.327,0.0639159
80.6029,0.0692663
80.7116,0.078381
81.0225,0.0712678
81.5261,0.0786582
82.4814,0.0721721
82.5095,0.0764451
81.6028,0.0934905
81.3609,0.0972577
81.6997,0.0704362
80.5981,0.0821942
81.8397,0.0588823
82.0412,0.060298
83.3889,0.0421316
83.0185,0.0583137
84.3269,0.0579704
83.8745,0.06128
83.7922,0.0881181
82.1196,0.0920562
81.0552,0.0946666
79.4792,0.0963775
78.34,0.118393
77.5659,0.0842622
77.2472,0.106584
77.6263,0.0907173
78.5443,0.0801844
78.385,0.0826651
78.4219,0.111211
78.2445,0.105455
78.9456,0.0596475
79.7134,0.0833826
79.5849,0.0771758
79.8024,0.0817582
79.9466,0.0886944
80.047,0.0805568
82.1674,0.0738603
82.3251,0.0702513
82.5355,0.0682242
82.3918,0.084352
83.1711,0.0483528
82.9724,0.0641102
83.1775,0.0586543
82.8079,0.0598868
82.3701,0.0546432
81.532,0.0743093
80.7054,0.0921685
81.0791,0.0816891
81.6833,0.0842517
81.5522,0.081848
81.7551,0.0860879
82.0342,0.0763586
81.6026,0.0802899
81.9566,0.0717328
82.726,0.0568759
81.3265,0.0725202
79.4748,0.0962381
81.383,0.0550872
81.9741,0.0704327
81.8437,0.0596428
82.2474,0.0740612
83.5159,0.0735391
82.6369,0.0888975
82.4507,0.0918724
83.1577,0.0630024
83.094,0.0838713
81.529,0.098847
82.1713,0.0993378
81.1487,0.10612
82.8571,0.0592588
82.9411,0.0607753
81.4725,0.0718007
81.8884,0.0739499
82.6703,0.0476399
82.0537,0.059821
82.6069,0.0458233
81.9141,0.0436495
82.075,0.0537387
82.8512,0.0387479
82.7429,0.0393417
82.5674,0.0449842
82.4417,0.0481324
82.3366,0.049455
82.2009,0.0632869
82.2964,0.0666473
82.8188,0.0629316
83.2302,0.0467336
82.6841,0.0564516
82.4188,0.0676356
80.5987,0.0858652
82.5538,0.0670317
82.3739,0.069847
82.7552,0.0602656
83.1706,0.0564155
83.6961,0.0726813
82.9018,0.0743414
82.7848,0.0677748
83.5269,0.0467845
82.9288,0.0663353
83.4132,0.040502
83.4569,0.0358331
83.8568,0.037817
83.4336,0.0548444
83.2535,0.064069
83.278,0.0604721
83.199,0.0842643
82.6523,0.0589261
82.4706,0.0718098
82.1672,0.0716149
81.6259,0.0425368
80.6884,0.0609539
80.4728,0.0501005
80.6966,0.0494287
80.8986,0.0486895
81.0169,0.0444892
81.1722,0.0609681
80.5752,0.0615153
80.4359,0.0623633
79.2852,0.0784608
79.5779,0.0662095
